Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2025-06-30 03:45:00+00:00,25630.150390625,25664.849609375,25625.650390625,25660.94921875,0
2025-06-30 03:46:00+00:00,25621.55078125,25637.05078125,25614.05078125,25629.599609375,0
2025-06-30 03:47:00+00:00,25602.650390625,25621.19921875,25602.55078125,25621.19921875,0
2025-06-30 03:48:00+00:00,25595.80078125,25612.150390625,25593.150390625,25600.55078125,0
2025-06-30 03:49:00+00:00,25611.349609375,25611.349609375,25592.30078125,25597.0,0
2025-06-30 03:50:00+00:00,25605.599609375,25610.55078125,25602.599609375,25610.55078125,0
2025-06-30 03:51:00+00:00,25607.900390625,25607.900390625,25598.55078125,25606.80078125,0
2025-06-30 03:52:00+00:00,25625.80078125,25626.150390625,25607.05078125,25607.69921875,0
2025-06-30 03:53:00+00:00,25631.30078125,25634.599609375,25621.05078125,25625.900390625,0
2025-06-30 03:54:00+00:00,25636.150390625,25637.650390625,25629.80078125,25632.5,0
2025-06-30 03:55:00+00:00,25634.099609375,25638.44921875,25632.05078125,25635.69921875,0
2025-06-30 03:56:00+00:00,25640.400390625,25640.400390625,25625.30078125,25634.05078125,0
2025-06-30 03:57:00+00:00,25646.44921875,25651.05078125,25640.849609375,25641.94921875,0
2025-06-30 03:58:00+00:00,25644.900390625,25650.150390625,25642.94921875,25644.05078125,0
2025-06-30 03:59:00+00:00,25632.599609375,25645.099609375,25630.25,25645.099609375,0
2025-06-30 04:00:00+00:00,25609.849609375,25631.94921875,25608.849609375,25631.849609375,0
2025-06-30 04:01:00+00:00,25619.099609375,25622.5,25610.349609375,25610.849609375,0
2025-06-30 04:02:00+00:00,25617.19921875,25625.44921875,25616.0,25618.69921875,0
2025-06-30 04:03:00+00:00,25608.099609375,25617.80078125,25597.94921875,25617.599609375,0
2025-06-30 04:04:00+00:00,25609.650390625,25609.75,25603.94921875,25608.5,0
2025-06-30 04:05:00+00:00,25610.80078125,25612.099609375,25607.650390625,25608.94921875,0
2025-06-30 04:06:00+00:00,25598.849609375,25612.599609375,25595.150390625,25610.80078125,0
2025-06-30 04:07:00+00:00,25592.30078125,25602.55078125,25592.19921875,25598.599609375,0
2025-06-30 04:08:00+00:00,25603.55078125,25605.650390625,25591.5,25592.44921875,0
2025-06-30 04:09:00+00:00,25596.94921875,25606.80078125,25596.44921875,25603.69921875,0
2025-06-30 04:10:00+00:00,25605.400390625,25606.25,25597.19921875,25597.5,0
2025-06-30 04:11:00+00:00,25599.650390625,25605.19921875,25597.05078125,25605.19921875,0
2025-06-30 04:12:00+00:00,25579.349609375,25598.30078125,25579.349609375,25597.94921875,0
2025-06-30 04:13:00+00:00,25590.5,25590.69921875,25579.55078125,25579.55078125,0
2025-06-30 04:14:00+00:00,25590.400390625,25594.349609375,25588.099609375,25591.0,0
2025-06-30 04:15:00+00:00,25581.900390625,25590.80078125,25571.94921875,25589.900390625,0
2025-06-30 04:16:00+00:00,25586.94921875,25586.94921875,25576.599609375,25580.650390625,0
2025-06-30 04:17:00+00:00,25581.150390625,25586.75,25579.150390625,25585.150390625,0
2025-06-30 04:18:00+00:00,25577.5,25583.150390625,25576.55078125,25580.400390625,0
2025-06-30 04:19:00+00:00,25569.400390625,25578.69921875,25568.650390625,25577.94921875,0
2025-06-30 04:20:00+00:00,25575.75,25578.69921875,25569.150390625,25569.150390625,0
2025-06-30 04:21:00+00:00,25562.69921875,25576.650390625,25561.44921875,25576.650390625,0
2025-06-30 04:22:00+00:00,25567.599609375,25568.900390625,25560.19921875,25562.44921875,0
2025-06-30 04:23:00+00:00,25565.69921875,25569.44921875,25564.30078125,25568.80078125,0
2025-06-30 04:24:00+00:00,25563.75,25566.650390625,25562.30078125,25565.44921875,0
2025-06-30 04:25:00+00:00,25565.05078125,25566.099609375,25560.25,25563.599609375,0
2025-06-30 04:26:00+00:00,25568.55078125,25568.599609375,25562.900390625,25564.599609375,0
2025-06-30 04:27:00+00:00,25573.849609375,25575.599609375,25567.55078125,25567.80078125,0
2025-06-30 04:28:00+00:00,25569.349609375,25575.900390625,25568.900390625,25574.69921875,0
2025-06-30 04:29:00+00:00,25558.44921875,25569.650390625,25558.19921875,25569.099609375,0
2025-06-30 04:30:00+00:00,25561.650390625,25562.80078125,25555.30078125,25558.19921875,0
2025-06-30 04:31:00+00:00,25547.69921875,25562.099609375,25546.099609375,25562.099609375,0
2025-06-30 04:32:00+00:00,25547.44921875,25549.30078125,25543.80078125,25547.30078125,0
2025-06-30 04:33:00+00:00,25558.75,25558.75,25546.099609375,25547.349609375,0
2025-06-30 04:34:00+00:00,25569.44921875,25569.44921875,25556.5,25558.650390625,0
2025-06-30 04:35:00+00:00,25578.55078125,25581.849609375,25568.599609375,25569.0,0
2025-06-30 04:36:00+00:00,25575.099609375,25579.349609375,25572.55078125,25577.5,0
2025-06-30 04:37:00+00:00,25566.75,25576.900390625,25565.05078125,25574.900390625,0
2025-06-30 04:38:00+00:00,25562.650390625,25566.19921875,25558.599609375,25566.19921875,0
2025-06-30 04:39:00+00:00,25567.849609375,25568.400390625,25556.5,25561.69921875,0
