,Date,Time,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2025-06-03,09:15:00,419.1000061035156,421.45001220703125,419.1000061035156,421.45001220703125,0,0.0,0.0
1,2025-06-03,09:16:00,420.25,420.25,418.8500061035156,419.29998779296875,161957,0.0,0.0
2,2025-06-03,09:17:00,419.29998779296875,419.29998779296875,418.79998779296875,419.04998779296875,126596,0.0,0.0
3,2025-06-03,09:18:00,419.29998779296875,419.29998779296875,418.75,419.29998779296875,322423,0.0,0.0
4,2025-06-03,09:19:00,419.1499938964844,420.3999938964844,419.1499938964844,420.3999938964844,155444,0.0,0.0
5,2025-06-03,09:20:00,419.6499938964844,420.1000061035156,419.6000061035156,420.1000061035156,78657,0.0,0.0
6,2025-06-03,09:21:00,420.0,420.3999938964844,420.0,420.1499938964844,73056,0.0,0.0
7,2025-06-03,09:22:00,420.04998779296875,420.45001220703125,420.04998779296875,420.29998779296875,65243,0.0,0.0
8,2025-06-03,09:23:00,420.0,420.20001220703125,420.0,420.1000061035156,46247,0.0,0.0
9,2025-06-03,09:24:00,420.20001220703125,420.3999938964844,420.20001220703125,420.25,34459,0.0,0.0
10,2025-06-03,09:25:00,420.3500061035156,420.5,420.20001220703125,420.20001220703125,22607,0.0,0.0
11,2025-06-03,09:26:00,420.04998779296875,420.1499938964844,420.04998779296875,420.1000061035156,9605,0.0,0.0
12,2025-06-03,09:27:00,420.04998779296875,420.45001220703125,420.0,420.1000061035156,182529,0.0,0.0
13,2025-06-03,09:28:00,420.04998779296875,420.3999938964844,420.04998779296875,420.20001220703125,38727,0.0,0.0
14,2025-06-03,09:29:00,420.29998779296875,420.3500061035156,420.04998779296875,420.04998779296875,26554,0.0,0.0
15,2025-06-03,09:30:00,419.6000061035156,419.6000061035156,419.29998779296875,419.3500061035156,174843,0.0,0.0
16,2025-06-03,09:31:00,419.3500061035156,419.54998779296875,419.20001220703125,419.54998779296875,39581,0.0,0.0
17,2025-06-03,09:32:00,419.29998779296875,419.45001220703125,419.04998779296875,419.04998779296875,23147,0.0,0.0
18,2025-06-03,09:33:00,419.0,419.20001220703125,419.0,419.20001220703125,30756,0.0,0.0
19,2025-06-03,09:34:00,419.20001220703125,419.20001220703125,419.1000061035156,419.1000061035156,22532,0.0,0.0
20,2025-06-03,09:35:00,419.1499938964844,419.54998779296875,419.1000061035156,419.25,43045,0.0,0.0
