,Date,Time,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2025-06-03,09:15:00,6548.0,6570.0,6548.0,6569.0,0,0.0,0.0
1,2025-06-03,09:16:00,6566.5,6568.5,6561.0,6561.0,5999,0.0,0.0
2,2025-06-03,09:17:00,6560.0,6572.0,6548.0,6552.0,3606,0.0,0.0
3,2025-06-03,09:18:00,6552.5,6559.5,6551.0,6555.0,2728,0.0,0.0
4,2025-06-03,09:19:00,6552.5,6577.0,6552.5,6577.0,2638,0.0,0.0
5,2025-06-03,09:20:00,6587.0,6594.0,6587.0,6594.0,5034,0.0,0.0
6,2025-06-03,09:21:00,6592.0,6592.0,6578.0,6578.0,2532,0.0,0.0
7,2025-06-03,09:22:00,6580.0,6580.0,6573.5,6579.0,2563,0.0,0.0
8,2025-06-03,09:23:00,6577.5,6577.5,6565.0,6568.0,1840,0.0,0.0
9,2025-06-03,09:24:00,6569.5,6569.5,6548.5,6548.5,2336,0.0,0.0
10,2025-06-03,09:25:00,6549.0,6555.0,6546.0,6555.0,1589,0.0,0.0
11,2025-06-03,09:26:00,6556.0,6559.0,6552.5,6559.0,2453,0.0,0.0
12,2025-06-03,09:27:00,6561.5,6565.5,6555.0,6565.0,2828,0.0,0.0
13,2025-06-03,09:28:00,6565.5,6572.0,6561.5,6562.5,1790,0.0,0.0
14,2025-06-03,09:29:00,6563.0,6568.5,6563.0,6564.5,1458,0.0,0.0
15,2025-06-03,09:30:00,6560.0,6560.0,6549.0,6550.0,1188,0.0,0.0
16,2025-06-03,09:31:00,6552.5,6552.5,6544.5,6548.0,1165,0.0,0.0
17,2025-06-03,09:32:00,6552.5,6552.5,6547.0,6548.0,1633,0.0,0.0
18,2025-06-03,09:33:00,6550.5,6559.5,6550.5,6559.5,1414,0.0,0.0
19,2025-06-03,09:34:00,6554.0,6554.0,6549.0,6551.5,934,0.0,0.0
20,2025-06-03,09:35:00,6547.5,6557.0,6547.5,6554.5,2196,0.0,0.0
21,2025-06-03,09:36:00,6554.5,6555.0,6548.5,6549.5,1421,0.0,0.0
22,2025-06-03,09:37:00,6550.0,6550.0,6543.0,6547.5,1525,0.0,0.0
23,2025-06-03,09:38:00,6546.0,6546.0,6543.5,6546.0,929,0.0,0.0
24,2025-06-03,09:39:00,6542.0,6544.5,6540.5,6544.5,957,0.0,0.0
25,2025-06-03,09:40:00,6541.0,6543.5,6540.0,6541.5,1692,0.0,0.0
26,2025-06-03,09:41:00,6545.5,6547.5,6543.5,6547.5,968,0.0,0.0
27,2025-06-03,09:42:00,6548.0,6548.0,6544.0,6546.0,1044,0.0,0.0
28,2025-06-03,09:43:00,6545.5,6548.5,6543.5,6545.0,1630,0.0,0.0
29,2025-06-03,09:44:00,6554.0,6554.0,6546.5,6554.0,1112,0.0,0.0
30,2025-06-03,09:45:00,6552.0,6560.0,6552.0,6556.0,1250,0.0,0.0
31,2025-06-03,09:46:00,6553.0,6556.0,6550.5,6550.5,1319,0.0,0.0
32,2025-06-03,09:47:00,6547.5,6549.5,6546.5,6547.5,557,0.0,0.0
33,2025-06-03,09:48:00,6547.0,6553.5,6547.0,6553.0,740,0.0,0.0
34,2025-06-03,09:49:00,6556.5,6564.5,6556.5,6557.0,1310,0.0,0.0
35,2025-06-03,09:50:00,6555.5,6563.5,6550.0,6563.5,1307,0.0,0.0
36,2025-06-03,09:51:00,6562.0,6573.5,6562.0,6564.0,1705,0.0,0.0
37,2025-06-03,09:52:00,6563.5,6563.5,6557.0,6557.0,749,0.0,0.0
38,2025-06-03,09:53:00,6554.5,6554.5,6551.0,6551.5,896,0.0,0.0
