Date,Time,Open,High,Low,Close,Volume
2025-06-10,09:15:00,1584.9000244140625,1590.199951171875,1584.9000244140625,1587.699951171875,0
2025-06-10,09:16:00,1586.5,1588.800048828125,1586.5,1588.699951171875,4397
2025-06-10,09:17:00,1587.800048828125,1589.300048828125,1586.5,1588.9000244140625,8016
2025-06-10,09:18:00,1589.0,1590.9000244140625,1588.199951171875,1590.699951171875,6306
2025-06-10,09:19:00,1591.300048828125,1592.0,1590.300048828125,1591.0999755859375,5296
2025-06-10,09:20:00,1590.9000244140625,1592.5999755859375,1590.5,1592.5999755859375,5433
2025-06-10,09:21:00,1592.9000244140625,1596.699951171875,1592.0999755859375,1596.699951171875,12883
2025-06-10,09:22:00,1596.0,1597.9000244140625,1593.800048828125,1597.300048828125,28759
2025-06-10,09:23:00,1596.300048828125,1598.0,1596.300048828125,1596.9000244140625,8470
2025-06-10,09:24:00,1600.0999755859375,1603.4000244140625,1599.5999755859375,1602.9000244140625,36091
2025-06-10,09:25:00,1602.5999755859375,1603.0,1599.199951171875,1600.4000244140625,12937
2025-06-10,09:26:00,1599.699951171875,1602.4000244140625,1599.699951171875,1601.699951171875,9460
2025-06-10,09:27:00,1601.699951171875,1601.699951171875,1600.300048828125,1601.300048828125,8757
2025-06-10,09:28:00,1602.5,1605.0,1602.5,1604.0,18721
2025-06-10,09:29:00,1603.0999755859375,1604.0999755859375,1599.5,1599.5,34326
2025-06-10,09:30:00,1599.9000244140625,1600.699951171875,1594.5999755859375,1594.5999755859375,40732
2025-06-10,09:31:00,1595.0999755859375,1599.699951171875,1593.800048828125,1598.4000244140625,18550
2025-06-10,09:32:00,1597.9000244140625,1598.9000244140625,1596.199951171875,1597.5999755859375,6530
2025-06-10,09:33:00,1597.5999755859375,1603.5,1597.5999755859375,1603.199951171875,20637
2025-06-10,09:34:00,1604.0,1604.0,1602.0,1602.0,7612
2025-06-10,09:35:00,1602.0,1602.0,1599.5999755859375,1599.9000244140625,11374
2025-06-10,09:36:00,1600.0,1601.699951171875,1600.0,1600.5999755859375,12483
2025-06-10,09:37:00,1600.0,1600.4000244140625,1598.0,1598.199951171875,6918
2025-06-10,09:38:00,1598.199951171875,1600.5999755859375,1598.0999755859375,1600.0999755859375,20170
2025-06-10,09:39:00,1600.5999755859375,1601.0999755859375,1599.0999755859375,1599.9000244140625,10686
2025-06-10,09:40:00,1599.9000244140625,1600.199951171875,1598.4000244140625,1598.5999755859375,5052
2025-06-10,09:41:00,1598.0999755859375,1599.5,1597.0,1599.5,6933
2025-06-10,09:42:00,1600.699951171875,1601.4000244140625,1600.0,1600.0,5744
2025-06-10,09:43:00,1600.0,1600.4000244140625,1598.0999755859375,1598.800048828125,4558
2025-06-10,09:44:00,1598.5,1599.300048828125,1598.0,1598.5999755859375,1381
2025-06-10,09:45:00,1599.0999755859375,1599.5,1598.5999755859375,1599.0999755859375,3225
2025-06-10,09:46:00,1600.0,1600.0,1598.0999755859375,1598.0999755859375,1603
2025-06-10,09:47:00,1598.199951171875,1599.800048828125,1598.0,1598.5,4403
2025-06-10,09:48:00,1598.199951171875,1598.5999755859375,1597.300048828125,1597.800048828125,3600
2025-06-10,09:49:00,1597.699951171875,1599.0,1596.5,1598.4000244140625,3913
2025-06-10,09:50:00,1599.0,1599.9000244140625,1598.5,1599.699951171875,3976
2025-06-10,09:51:00,1599.5999755859375,1599.9000244140625,1598.800048828125,1599.4000244140625,2781
2025-06-10,09:52:00,1599.9000244140625,1599.9000244140625,1598.800048828125,1599.4000244140625,591
2025-06-10,09:53:00,1599.5,1599.5,1598.9000244140625,1598.9000244140625,1460
2025-06-10,09:54:00,1599.0999755859375,1600.300048828125,1599.0999755859375,1599.9000244140625,2489
2025-06-10,09:55:00,1599.9000244140625,1600.699951171875,1599.9000244140625,1600.0999755859375,2212
2025-06-10,09:56:00,1600.4000244140625,1600.699951171875,1600.0,1600.0,3013
2025-06-10,09:57:00,1600.4000244140625,1600.699951171875,1600.0,1600.4000244140625,2643
2025-06-10,09:58:00,1600.5,1600.5,1599.5999755859375,1600.0,1451
2025-06-10,09:59:00,1600.0,1600.699951171875,1599.800048828125,1600.0,2688
2025-06-10,10:00:00,1600.4000244140625,1603.0,1600.4000244140625,1603.0,8021
2025-06-10,10:01:00,1602.9000244140625,1602.9000244140625,1601.0999755859375,1602.4000244140625,8539
2025-06-10,10:02:00,1602.5,1602.5999755859375,1601.0,1602.0,4665
2025-06-10,10:03:00,1602.199951171875,1602.800048828125,1601.5999755859375,1602.0,6184
2025-06-10,10:04:00,1602.0,1603.0,1601.4000244140625,1602.5,1302
2025-06-10,10:05:00,1602.5,1602.5999755859375,1601.699951171875,1602.0999755859375,4019
2025-06-10,10:06:00,1602.199951171875,1603.5,1601.699951171875,1603.5,4962
2025-06-10,10:07:00,1603.199951171875,1603.300048828125,1602.199951171875,1603.0999755859375,4582
2025-06-10,10:08:00,1603.0999755859375,1603.300048828125,1602.300048828125,1603.0999755859375,2047
2025-06-10,10:09:00,1603.0999755859375,1603.0999755859375,1602.800048828125,1602.800048828125,2020
2025-06-10,10:10:00,1602.800048828125,1602.800048828125,1601.699951171875,1601.699951171875,2060
2025-06-10,10:11:00,1601.699951171875,1603.0,1601.699951171875,1602.9000244140625,4308
2025-06-10,10:12:00,1602.9000244140625,1606.0,1602.199951171875,1605.4000244140625,57674
2025-06-10,10:13:00,1605.4000244140625,1607.0,1605.199951171875,1606.800048828125,19953
2025-06-10,10:14:00,1607.0,1607.0,1606.0,1607.0,11588
2025-06-10,10:15:00,1607.0,1607.0,1604.4000244140625,1605.4000244140625,62683
2025-06-10,10:16:00,1605.0999755859375,1607.5,1605.0,1607.5,10365
2025-06-10,10:17:00,1607.0999755859375,1609.0,1607.0999755859375,1608.300048828125,23066
2025-06-10,10:18:00,1607.699951171875,1609.0,1607.699951171875,1609.0,8624
2025-06-10,10:19:00,1609.0,1610.0,1608.699951171875,1609.9000244140625,13822
2025-06-10,10:20:00,1609.4000244140625,1610.0,1608.800048828125,1609.5999755859375,17209
2025-06-10,10:21:00,1609.5999755859375,1611.5,1609.0,1611.199951171875,22347
2025-06-10,10:22:00,1611.199951171875,1611.9000244140625,1610.5,1611.5,10251
2025-06-10,10:23:00,1611.5,1612.699951171875,1611.0,1611.9000244140625,12290
2025-06-10,10:24:00,1611.199951171875,1611.9000244140625,1610.300048828125,1610.800048828125,8412
2025-06-10,10:25:00,1610.9000244140625,1611.0,1610.199951171875,1610.699951171875,4830
2025-06-10,10:26:00,1610.699951171875,1612.4000244140625,1610.699951171875,1612.0999755859375,10419
2025-06-10,10:27:00,1612.4000244140625,1615.0,1612.4000244140625,1615.0,39350
